City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Zaplavnoye,48.7,45.02,60.8,93,20,8.95,RU
Rincon,32.3,-81.24,95.0,44,40,11.41,US
Saint-Philippe,-21.36,55.77,66.2,72,40,4.7,RE
Kahului,20.89,-156.47,91.4,46,20,23.04,US
Sahuaripa,29.05,-109.23,95.85,30,18,14.88,MX
Vaini,-21.2,-175.2,78.8,88,75,4.7,TO
Tashtyp,52.79,89.9,52.43,88,100,0.89,RU
Kieta,-6.22,155.63,83.55,66,0,0.65,PG
Bengkulu,-3.8,102.27,75.18,89,2,4.59,ID
Revelstoke,50.98,-118.2,78.64,28,23,3.78,CA
Santiago,-33.46,-70.65,46.4,100,75,2.17,CL
Hong Kong,22.29,114.16,86.0,74,95,3.0,HK
Gandajika,-6.75,23.95,69.89,38,0,4.43,CD
Bontang,0.13,117.5,75.78,90,89,3.85,ID
Tynda,55.17,124.72,69.71,50,50,2.37,RU
Bechem,7.09,-2.02,70.2,98,92,2.93,GH
Sur,22.57,59.53,85.48,69,20,12.3,OM
Sungai Penuh,-2.08,101.38,65.12,95,46,3.22,ID
Mount Isa,-20.73,139.5,64.4,42,0,12.68,AU
Kiunga,-6.12,141.29,74.8,96,100,2.48,PG
Tiksi,71.69,128.87,47.82,58,59,9.15,RU
Coquimbo,-29.95,-71.34,53.6,93,90,9.17,CL
Khislavichi,54.19,32.16,58.84,96,3,8.43,RU
Don Benito,38.96,-5.86,81.0,49,0,7.0,ES
Port Hedland,-20.32,118.57,55.4,71,69,5.82,AU
Pangnirtung,66.15,-65.71,41.0,86,40,13.87,CA
Yellowknife,62.46,-114.35,73.99,33,20,9.17,CA
Vila Velha,-20.33,-40.29,68.0,94,90,2.24,BR
Castro,-24.79,-50.01,53.38,96,29,6.71,BR
Kiryat Gat,31.61,34.76,73.0,88,0,4.0,IL
Necochea,-38.55,-58.74,46.99,84,100,1.99,AR
Orán,-23.13,-64.33,56.7,59,5,0.34,AR
Lompoc,34.64,-120.46,69.8,56,0,14.99,US
Thompson,55.74,-97.86,53.6,93,90,10.29,CA
Lumby,50.25,-118.97,80.6,32,1,2.66,CA
Bismil,37.85,40.67,75.2,56,20,3.36,TR
Mahébourg,-20.41,57.7,68.0,94,40,2.24,MU
Wajima,37.4,136.9,68.0,94,90,3.36,JP
Christchurch,-43.53,172.63,48.99,65,86,13.87,NZ
Phuket,8.0,98.25,77.0,94,20,2.24,TH
Tubualá,9.52,-79.03,78.8,88,75,2.24,PA
Beeville,28.4,-97.75,89.6,79,90,20.8,US
Lugazi,0.38,32.92,64.22,72,38,0.87,UG
Souillac,-20.52,57.52,68.0,94,40,2.24,MU
Jamestown,42.1,-79.24,79.0,54,1,8.05,US
Yangi Marg`ilon,40.43,71.72,66.2,45,100,6.93,UZ
Pevek,69.7,170.31,33.37,94,6,11.23,RU
Pacific Grove,36.62,-121.92,73.99,56,1,14.99,US
Norman Wells,65.28,-126.83,80.6,28,75,4.47,CA
Upington,-28.45,21.26,41.0,60,0,2.24,ZA
Byron Bay,-28.65,153.62,59.0,82,16,9.17,AU
Quelimane,-17.88,36.89,68.86,94,1,4.29,MZ
Lesozavodsk,45.48,133.42,65.25,88,90,4.05,RU
Babu,24.42,111.52,79.56,81,100,2.93,CN
Ancud,-41.87,-73.82,48.0,93,90,5.82,CL
Carnarvon,-24.87,113.63,55.4,100,18,6.93,AU
Tigil',57.8,158.67,65.39,55,0,5.12,RU
Livermore,37.68,-121.77,84.99,26,1,17.22,US
Chicama,-7.84,-79.15,66.18,75,25,9.35,PE
Constitución,-35.33,-72.42,51.85,89,1,4.45,CL
Gouyave,12.16,-61.73,82.4,83,20,11.41,GD
Kruisfontein,-34.0,24.73,52.83,90,3,9.55,ZA
Sabha,27.04,14.43,84.52,21,0,9.66,LY
Smolyaninovo,43.3,132.47,59.0,93,75,8.95,RU
São Filipe,14.9,-24.5,76.6,69,2,10.09,CV
Saint-Joseph,-21.37,55.62,66.2,72,24,4.7,RE
Kargil,34.57,76.1,50.16,48,0,4.29,IN
Srednekolymsk,67.45,153.68,56.62,40,10,11.54,RU
Gračac,44.3,15.85,78.01,64,77,5.82,HR
Cabedelo,-6.98,-34.83,73.4,88,76,4.7,BR
Saint Paul Harbor,57.79,-152.41,62.6,55,1,10.29,US
Lüderitz,-26.65,15.16,53.6,76,0,3.36,NA
Lishui,28.46,119.91,80.11,85,99,1.14,CN
Normandin,48.83,-72.53,75.2,60,20,1.32,CA
Socorro,31.65,-106.3,95.0,17,20,18.34,US
Ustka,54.58,16.86,57.02,90,58,8.19,PL
Kulachi,31.93,70.46,92.59,40,0,12.41,PK
Broken Hill,-31.95,141.43,50.0,57,0,9.17,AU
Narsaq,60.92,-46.05,48.2,66,12,9.17,GL
Hokitika,-42.72,170.97,48.43,55,0,3.78,NZ
Boueni,-12.9,45.08,75.2,83,12,10.29,YT
Nuuk,64.18,-51.72,41.0,80,20,5.82,GL
Margate,51.38,1.39,57.99,78,63,4.0,GB
Bredasdorp,-34.53,20.04,48.2,93,25,4.7,ZA
Sola,-13.88,167.55,78.82,84,97,26.46,VU
Durban,-29.86,31.03,59.0,76,0,5.82,ZA
Moa,20.66,-74.94,81.9,79,6,9.95,CU
Cidreira,-30.18,-50.21,60.69,90,100,19.28,BR
Turukhansk,65.82,87.98,62.13,53,93,13.31,RU
Chokurdakh,70.63,147.92,50.36,48,100,5.3,RU
Los Llanos de Aridane,28.66,-17.92,73.4,69,90,11.41,ES
Grand Gaube,-20.01,57.66,68.0,83,0,3.0,MU
Kaitangata,-46.28,169.85,46.99,74,100,11.01,NZ
Mackay,-21.15,149.2,68.0,82,90,14.99,AU
Chotila,22.42,71.18,87.01,10,100,12.86,IN
Lata,40.16,-8.33,68.0,78,0,0.89,PT
Forsytheganj,52.63,29.73,63.64,89,67,7.27,BY
Inuvik,68.35,-133.72,75.2,33,20,11.41,CA
Palmer,42.16,-72.33,69.8,88,75,6.2,US
Adolfo López Mateos,28.47,-107.3,82.0,29,50,10.0,MX
Nantucket,41.28,-70.1,68.0,88,90,6.93,US
Tocopilla,-22.09,-70.2,60.4,69,17,7.81,CL
Raja,8.46,25.68,72.3,85,20,4.18,SS
Nuevo Laredo,27.48,-99.52,98.6,42,75,11.41,MX
Comodoro Rivadavia,-45.87,-67.5,42.8,81,75,10.29,AR
Castlegar,49.3,-117.67,66.99,41,47,5.01,CA
Hirara,24.8,125.28,86.0,89,40,17.22,JP
Ampanihy,-24.7,44.75,65.79,88,48,3.6,MG
Mina,26.0,-100.53,87.01,62,75,10.29,MX
Eureka,40.8,-124.16,73.0,34,1,8.01,US
Tandil,-37.32,-59.13,48.0,76,100,3.0,AR
Aripuanã,-9.17,-60.63,78.3,66,79,1.39,BR
Grindavik,63.84,-22.43,51.8,93,75,10.29,IS
Digras,20.12,77.72,80.55,77,78,5.35,IN
Conceição da Barra,-18.59,-39.73,72.0,79,53,9.4,BR
Nome,64.5,-165.41,48.99,81,75,12.75,US
Padang,-0.95,100.35,78.35,78,91,4.23,ID
Cap Malheureux,-19.98,57.61,69.01,83,0,3.0,MU
Delta del Tigre,-34.76,-56.39,54.0,62,81,13.87,UY
Prince George,53.92,-122.75,59.0,93,90,8.05,CA
Bilma,18.69,12.92,87.35,12,0,8.12,NE
Yeppoon,-23.13,150.73,66.2,68,75,10.29,AU
Kendari,-3.94,122.5,74.5,90,95,2.91,ID
Pinawa,50.15,-95.88,88.23,44,3,5.46,CA
Ouango,4.31,22.56,70.56,95,95,1.05,CF
Riyadh,24.69,46.72,87.8,22,0,4.7,SA
Yulara,-25.24,130.99,42.8,38,0,3.36,AU
Labé,11.32,-12.28,67.62,96,82,1.68,GN
Mehrān,33.12,46.16,68.0,40,0,4.7,IR
Rocha,-34.48,-54.33,49.3,82,87,9.28,UY
Sarangani,5.4,125.46,81.52,71,60,2.98,PH
Acapulco de Juárez,16.86,-99.89,89.6,62,75,2.24,MX
Ciudad Real,39.0,-4.0,86.0,35,0,3.29,ES
Werda,-25.27,23.28,49.41,47,0,6.4,BW
Horki,54.29,30.98,60.1,95,56,8.34,BY
Lafiagi,8.87,5.42,74.95,90,88,6.71,NG
Hofn,64.25,-15.21,50.2,70,80,17.34,IS
Tagusao,9.19,117.81,80.73,78,100,5.53,PH
Namatanai,-3.67,152.43,83.57,69,3,5.19,PG
La Ronge,55.1,-105.28,62.6,72,90,9.17,CA
Plaster Rock,46.91,-67.39,66.2,72,90,9.17,CA
Puerto Escondido,15.85,-97.07,84.2,70,90,5.82,MX
Vanimo,-2.67,141.3,81.32,73,98,4.92,PG
Hudson Bay,52.85,-102.38,61.47,87,99,6.73,CA
Breves,-1.68,-50.48,75.4,94,92,4.76,BR
Boyolangu,-8.12,111.89,73.0,90,35,2.48,ID
Young,-32.68,-57.63,52.86,96,100,12.24,UY
Aklavik,68.22,-135.01,75.2,33,20,11.41,CA
Ji’an,27.12,114.98,79.32,87,100,3.83,CN
Verkhnyaya Inta,65.98,60.31,39.33,93,100,12.95,RU
Fortuna,40.6,-124.16,64.99,68,20,12.75,US
San Vicente,-26.62,-54.13,56.46,100,90,4.59,AR
Horadiz,39.45,47.34,62.6,63,0,2.24,AZ
Nhulunbuy,-12.23,136.77,75.2,83,0,5.82,AU
Pacocha,-17.58,-71.33,60.93,80,43,2.71,PE
Luanda,-8.84,13.23,73.4,88,75,3.36,AO
Jiujiang,29.73,115.98,77.86,85,64,2.42,CN
Alvand,36.32,49.17,51.62,65,8,4.47,IR
Longyearbyen,78.22,15.64,41.0,65,75,9.17,SJ
Pamanukan,-6.28,107.81,73.71,83,0,5.44,ID
Río Gallegos,-51.62,-69.22,15.8,92,0,4.52,AR
Ribeira Grande,38.52,-28.7,68.13,94,34,6.46,PT
Angoram,-4.06,144.07,78.12,90,65,2.82,PG
Santoña,43.44,-3.46,64.0,88,15,2.48,ES
Kadugannawa,7.25,80.52,68.59,98,96,2.91,LK
Potosí,-19.58,-65.75,40.19,47,0,4.97,BO
San Quintín,30.48,-115.95,68.54,67,1,11.9,MX
Sechura,-5.56,-80.82,68.99,72,26,18.7,PE
Port Lincoln,-34.73,135.87,54.72,74,19,13.76,AU
Kalianget,-7.05,113.93,79.2,79,18,9.08,ID
Martinez,38.02,-122.13,87.8,23,1,13.87,US
Pascagoula,30.37,-88.56,87.8,70,20,4.7,US
Tateyama,34.98,139.87,77.0,78,75,8.05,JP
Tuatapere,-46.13,167.68,45.41,88,99,6.89,NZ
Ubinskoye,55.31,79.68,47.52,93,4,7.92,RU
Xichang,27.9,102.26,68.97,83,100,1.63,CN
Lagoa,39.05,-27.98,67.35,96,0,10.45,PT
Chapais,49.78,-74.85,77.0,53,1,8.05,CA
Leningradskiy,69.38,178.42,33.3,94,99,2.13,RU
Thunder Bay,48.4,-89.32,69.8,68,75,11.41,CA
Butembo,0.15,29.28,58.1,92,64,2.37,CD
Isangel,-19.55,169.27,75.2,69,40,9.17,VU
Nurlat,54.43,50.81,43.65,94,0,6.17,RU
Fuerte Olimpo,-21.04,-57.87,74.75,70,22,6.82,PY
Novoagansk,61.94,76.66,50.94,97,83,9.89,RU
Parintins,-2.63,-56.74,76.91,87,100,1.28,BR
Lityn,49.33,28.08,64.13,89,28,4.03,UA
Port-Gentil,-0.72,8.78,73.4,88,40,8.05,GA
Klaksvík,62.23,-6.59,53.6,87,100,8.05,FO
Faya,18.39,42.45,75.2,40,66,2.71,SA
Shelburne,44.08,-80.2,80.6,44,20,9.17,CA
Corning,42.14,-77.05,80.6,47,1,11.41,US
Prainha,-1.8,-53.48,75.87,93,100,3.22,BR
Katsuura,35.13,140.3,77.0,78,75,8.05,JP
Deputatsky,69.3,139.9,52.5,45,100,2.15,RU
Taoudenni,22.68,-3.98,100.29,10,27,8.12,ML
Tucupita,9.06,-62.05,78.84,82,30,5.1,VE
Örnsköldsvik,63.29,18.72,55.4,100,90,3.36,SE
Avera,33.19,-82.53,93.2,46,1,6.93,US
Talnakh,69.49,88.4,60.8,63,94,13.42,RU
Chifeng,42.27,118.96,69.49,65,100,7.34,CN
Nanga Eboko,4.68,12.37,66.92,98,100,1.77,CM
Port Hardy,50.7,-127.42,62.6,72,75,8.05,CA
Puerto Baquerizo Moreno,-0.9,-89.6,70.36,83,35,10.29,EC
Vir,44.3,15.09,71.6,64,84,5.82,HR
Boyuibe,-20.42,-63.28,68.23,73,3,6.91,BO
Batemans Bay,-35.72,150.18,48.0,100,4,4.72,AU
Buraidah,26.33,43.98,86.0,30,0,5.82,SA
Morón,-34.65,-58.62,54.0,84,99,5.01,AR
Carnduff,49.17,-101.8,80.01,78,42,8.99,CA
Paredon,16.03,-93.87,86.0,69,54,4.14,MX
Panabá,21.28,-88.27,85.12,79,79,13.42,MX
Abomsa,9.98,39.98,75.87,51,73,5.66,ET
North Port,27.04,-82.24,90.0,74,97,9.64,US
Juneau,58.3,-134.42,57.2,76,90,0.45,US
Walvis Bay,-22.96,14.51,68.0,16,0,13.87,NA
Upernavik,72.79,-56.15,39.76,74,93,7.87,GL
Beringovskiy,63.05,179.32,42.64,90,100,7.0,RU
Suntar,62.14,117.63,73.99,57,29,2.19,RU
Ilām,26.92,87.92,64.98,90,11,2.62,NP
Simbahan,6.3,120.58,81.95,74,91,7.36,PH
Vung Tau,10.35,107.08,79.68,80,100,6.29,VN
Egvekinot,66.32,-179.17,38.57,73,84,4.56,RU
Yola,9.2,12.48,73.02,93,100,0.67,NG
Kupang,-10.17,123.58,75.2,83,20,8.05,ID
Arman',59.7,150.17,54.0,87,90,2.39,RU
Kathmandu,27.72,85.32,69.8,100,75,2.24,NP
Minas,-34.38,-55.24,51.8,81,97,12.75,UY
Oriximiná,-1.77,-55.87,79.48,78,62,1.39,BR
Inongo,-1.95,18.27,70.74,80,30,4.36,CD
Weiser,44.25,-116.97,60.8,72,90,3.87,US
Wichian Buri,15.66,101.11,75.49,91,51,4.38,TH
Bosaso,11.28,49.18,93.76,42,59,16.35,SO
Labuhan,-6.88,112.21,75.72,86,28,6.64,ID
Sobolevo,54.43,31.9,57.94,93,10,8.84,RU
Puławy,51.42,21.97,64.99,10,100,8.12,PL
Weligama,5.97,80.42,80.28,87,100,11.43,LK
Nakhon Thai,17.1,100.84,78.8,94,20,2.24,TH
Tabuk,17.42,121.44,77.5,85,99,3.69,PH
College,64.86,-147.8,62.6,59,90,10.29,US
Wilmington Island,32.0,-80.97,97.0,41,1,10.29,US
Springdale,36.19,-94.13,87.01,74,75,13.87,US
Okhotsk,59.38,143.3,55.58,74,53,0.16,RU
Adrar,20.5,-10.07,96.82,9,30,4.61,MR
Vanavara,60.34,102.28,70.65,59,65,2.57,RU
Nioro,13.35,-15.75,80.1,71,21,10.94,GM
Tapes,-30.67,-51.4,57.36,91,100,13.73,BR
Muros,42.78,-9.06,64.99,67,20,4.0,ES
Druzhba,52.04,33.95,58.95,96,0,7.49,UA
Manokwari,-0.87,134.08,80.38,72,99,2.35,ID
Carmaux,44.05,2.16,60.8,82,0,2.24,FR
Ostrovnoy,68.05,39.51,42.53,84,74,9.19,RU
Saint-Pierre,-21.34,55.48,66.2,72,8,4.7,RE
Ouangani,-12.85,45.14,75.2,83,17,10.29,YT
Torbay,47.67,-52.73,62.6,82,75,13.87,CA
Valparai,10.37,76.97,75.2,94,75,4.38,IN
Viedma,-40.81,-63.0,46.45,82,100,8.48,AR
Tongzhou,39.91,116.6,82.99,60,99,4.47,CN
Agua Prieta,31.3,-109.57,87.01,29,9,7.0,MX
Virginia Beach,36.85,-75.98,88.0,48,1,4.7,US
Matara,5.95,80.54,79.84,88,100,11.16,LK
Itarema,-2.92,-39.92,78.01,82,39,10.89,BR
Correntina,-13.34,-44.64,67.51,51,8,5.41,BR
Broome,42.25,-75.83,78.01,50,1,13.87,US
Pemba,-12.97,40.52,75.2,94,20,9.17,MZ
Ayan,56.45,138.17,52.14,83,0,11.07,RU
Kilindoni,-7.91,39.67,78.28,81,1,12.86,TZ
Aktau,43.65,51.2,59.0,93,0,2.24,KZ
Maputo,-25.97,32.59,60.8,93,0,4.7,MZ
Gazojak,41.19,61.4,73.89,22,20,6.71,TM
Vangaindrano,-23.35,47.6,65.75,91,50,4.25,MG
Pangody,65.85,74.49,53.74,89,98,11.77,RU
San Cristobal,7.77,-72.22,86.0,51,20,3.36,VE
São João da Barra,-21.64,-41.05,68.7,75,81,9.44,BR
Santa Lucía,27.91,-15.54,73.4,69,75,25.28,ES
Balky,47.38,34.94,70.0,77,0,4.47,UA
Faanui,-16.48,-151.75,77.94,76,81,25.99,PF
Ambilobe,-13.2,49.05,67.44,88,6,2.82,MG
Gamba,-2.65,10.0,70.9,84,75,2.46,GA
Inhambane,-23.86,35.38,65.89,68,0,6.08,MZ
Kitgum,3.28,32.89,65.7,91,35,3.09,UG
Wanning,18.8,110.4,81.05,86,100,5.21,CN
Yokadouma,3.52,15.05,69.49,94,95,1.92,CM
Lima,-12.04,-77.03,62.6,77,90,14.99,PE
Umluj,25.02,37.27,82.71,58,0,9.71,SA
Forbes,-33.38,148.02,54.0,67,0,3.0,AU
Whakatane,-37.96,176.99,52.0,83,99,5.01,NZ
Wum,6.38,10.07,63.81,100,98,2.75,CM
Xianyang,34.34,108.7,80.01,94,2,2.24,CN
Xai-Xai,-25.05,33.64,63.72,77,0,3.89,MZ
Horsham,51.06,-0.33,57.2,76,75,8.05,GB
Sijunjung,-0.69,100.95,72.12,92,37,1.16,ID
Imphal,24.82,93.95,70.3,92,95,0.6,IN
Gorontalo,0.54,123.06,74.91,85,84,1.68,ID
Ceres,37.59,-120.96,86.0,17,1,12.75,US
Poso,-1.4,120.75,76.95,72,23,4.43,ID
Shingū,33.73,135.98,75.2,94,75,21.92,JP
Hualmay,-11.1,-77.61,63.18,80,3,11.1,PE
Mitsamiouli,-11.38,43.28,77.94,73,23,2.75,KM
Ust-Tsilma,65.44,52.15,43.43,78,100,6.31,RU
Puerto Madero,14.72,-92.42,78.8,100,75,9.17,MX
Marsh Harbour,26.54,-77.06,83.89,69,15,4.32,BS
Kapoeta,4.77,33.59,76.71,51,18,5.59,SS
Morganton,35.75,-81.68,84.0,51,40,6.93,US
Fort Nelson,58.81,-122.7,75.2,38,90,4.7,CA
San Miguel de Tucumán,-26.82,-65.22,55.4,62,23,3.36,AR
Rumoi,43.93,141.64,59.68,93,99,6.2,JP
Mayor Pablo Lagerenza,-19.93,-60.77,77.23,56,4,8.88,PY
Meulaboh,4.14,96.13,75.88,88,100,5.01,ID
Berlevåg,70.86,29.09,39.97,74,77,14.88,NO
Makkah al Mukarramah,21.43,39.83,89.46,22,51,4.94,SA
Kursk,51.73,36.19,59.74,87,16,7.2,RU
Rapid Valley,44.06,-103.15,95.0,24,1,8.05,US
Pyaozerskiy,65.83,31.17,58.51,55,94,8.41,RU
Fukuechō,32.69,128.84,73.4,88,75,14.99,JP
Satuk,41.23,32.38,57.79,74,0,1.95,TR
Owando,-0.48,15.9,73.85,90,100,3.62,CG
Marsá Maţrūḩ,31.35,27.25,69.8,83,0,6.93,EG
Superior,46.72,-92.1,64.99,87,90,3.36,US
Istok,42.78,20.49,71.6,60,40,1.12,XK
Vostok,46.49,135.88,63.5,84,38,1.72,RU
Pital,2.27,-75.8,72.82,72,20,4.65,CO
Bara,10.37,10.73,74.26,85,99,8.34,NG
Korla,41.76,86.15,61.95,32,0,6.15,CN
Karratha,-20.74,116.85,68.27,51,45,10.16,AU
Nsanje,-16.92,35.26,69.21,85,41,3.27,MW
